project_id,title,description,brecha_ids
1,"CONSTRUCCION DE VEREDAS Y RECONSTRUCCION DE PISTA EN LA CALLE GRANADA, DISTRITO DE POCOLLAY - TACNA - TACNA","CONSTRUCCION DE VEREDAS Y RECONSTRUCCION DE PISTA EN LA CALLE GRANADA, DISTRITO DE POCOLLAY - TACNA - TACNA",18
2,"MEJORAMIENTO DE VEREDAS EN LA AVENIDA PUYA RAYMONDI, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","MEJORAMIENTO DE VEREDAS EN LA AVENIDA PUYA RAYMONDI, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",18
3,"MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL Y PEATONAL  EN LA AV. CELESTINO VARGAS ENTRE LIMITE DE TACNA Y CALANA , DISTRITO DE POCOLLAY - TACNA - TACNA","MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL Y PEATONAL  EN LA AV. CELESTINO VARGAS ENTRE LIMITE DE TACNA Y CALANA , DISTRITO DE POCOLLAY - TACNA - TACNA",18
4,"MEJORAMIENTO DE AV. JORGE BASADRE GROHMANN DESDE PARQUE INDUSTRIAL NOR OESTE HASTA CALLE GRANADA , DISTRITO DE POCOLLAY - TACNA - TACNA","MEJORAMIENTO DE AV. JORGE BASADRE GROHMANN DESDE PARQUE INDUSTRIAL NOR OESTE HASTA CALLE GRANADA , DISTRITO DE POCOLLAY - TACNA - TACNA",18
5,FORTALECIMIENTO DEL SERVICIO DE LIMPIEZA PUBLICA EN EL DISTRITO DE POCOLLAY - TACNA - TACNA,FORTALECIMIENTO DEL SERVICIO DE LIMPIEZA PUBLICA EN EL DISTRITO DE POCOLLAY - TACNA - TACNA,36
6,"CONSTRUCCION DE VEREDAS Y BERMAS EN LA AV. CRISTOBAL COLON  EN EL, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","CONSTRUCCION DE VEREDAS Y BERMAS EN LA AV. CRISTOBAL COLON  EN EL, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",18
7,"CONSTRUCCION DE PARQUE EN LA  JUNTA VECINAL LA CONCORDIA , DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","CONSTRUCCION DE PARQUE EN LA  JUNTA VECINAL LA CONCORDIA , DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",30
8,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE DE LA LOCALIDAD DE ITE, DISTRITO DE ITE - JORGE BASADRE - TACNA","MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE DE LA LOCALIDAD DE ITE, DISTRITO DE ITE - JORGE BASADRE - TACNA",12
9,"AMPLIACION DEL SISTEMA DE  AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE  PATIBAMBA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO","AMPLIACION DEL SISTEMA DE  AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE  PATIBAMBA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO",20
10,"MEJORAMIENTO  DE LA PRODUCCIÓN DE CAFÉ Y CACAO EN LAS COMUNIDADES DE CATUTE ALTA, CATUTE BAJA, COMUNPIARI, HUANTACHACA, QAHUASANA Y LIMONCHAYOCC DEL DISTRITO DE SANTA ROSA, PROVINCIA DE LA MAR - AYACUCHO","MEJORAMIENTO  DE LA PRODUCCIÓN DE CAFÉ Y CACAO EN LAS COMUNIDADES DE CATUTE ALTA, CATUTE BAJA, COMUNPIARI, HUANTACHACA, QAHUASANA Y LIMONCHAYOCC DEL DISTRITO DE SANTA ROSA, PROVINCIA DE LA MAR - AYACUCHO",38
11,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACION DEL SISTEMA DE ALCANTARILLADO EN LA LOCALIDAD DE MISKIBAMBA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO","MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACION DEL SISTEMA DE ALCANTARILLADO EN LA LOCALIDAD DE MISKIBAMBA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO",16
12,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN EL POBLADO DE  ZORZA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO","MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN EL POBLADO DE  ZORZA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO",16
13,"CONSTRUCCION DE PAVIMENTO DEL JR ANGAMOS 2, 3 Y 4 CUADRA - PUQUIO, PROVINCIA DE LUCANAS - AYACUCHO","CONSTRUCCION DE PAVIMENTO DEL JR ANGAMOS 2, 3 Y 4 CUADRA - PUQUIO, PROVINCIA DE LUCANAS - AYACUCHO",18
14,"AMPLIACION DE PAVIMENTACION DE LOS JR. BOLIVAR 4 CUADRA Y JR. ICA 3 CUADRA - PUQUIO, PROVINCIA DE LUCANAS - AYACUCHO","AMPLIACION DE PAVIMENTACION DE LOS JR. BOLIVAR 4 CUADRA Y JR. ICA 3 CUADRA - PUQUIO, PROVINCIA DE LUCANAS - AYACUCHO",18
15,"CONSTRUCCION DE LOSA DEPORTIVA Y AREA RECREACIONAL EN LA ASOCIACION DE VIVIENDA VISTA ALEGRE, DISTRITO DE POCOLLAY - TACNA - TACNA","CONSTRUCCION DE LOSA DEPORTIVA Y AREA RECREACIONAL EN LA ASOCIACION DE VIVIENDA VISTA ALEGRE, DISTRITO DE POCOLLAY - TACNA - TACNA",35
